date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2015-01-12,7.753020,6.200300,-0.046980,inside
2015-01-13,7.752390,6.193400,-0.047610,inside
2015-01-14,7.752780,6.187600,-0.047220,inside
2015-01-15,7.753350,6.184000,-0.046650,inside
2015-01-16,7.752330,6.177500,-0.047670,inside
2015-01-19,7.751960,6.197000,-0.048040,inside
2015-01-20,7.751660,6.208000,-0.048340,inside
2015-01-21,7.751650,6.204900,-0.048350,inside
2015-01-22,7.750830,6.201700,-0.049170,inside
2015-01-23,7.751920,6.199000,-0.048080,inside
2015-01-26,7.751890,6.217900,-0.048110,inside
2015-01-27,7.751760,6.245800,-0.048240,inside
2015-01-28,7.751690,6.235100,-0.048310,inside
2015-01-29,7.751630,6.236500,-0.048370,inside
2015-01-30,7.751560,6.236600,-0.048440,inside
2015-02-02,7.751650,6.241000,-0.048350,inside
2015-02-03,7.752920,6.249500,-0.047080,inside
2015-02-04,7.753640,6.245700,-0.046360,inside
2015-02-05,7.752200,6.237700,-0.047800,inside
2015-02-06,7.752080,6.242100,-0.047920,inside
2015-02-09,7.751750,6.233400,-0.048250,inside
2015-02-10,7.752970,6.238800,-0.047030,inside
2015-02-11,7.753130,6.231800,-0.046870,inside
2015-02-12,7.754200,6.232300,-0.045800,inside
2015-02-13,7.753870,6.234500,-0.046130,inside
2015-02-16,7.754990,6.230300,-0.045010,inside
2015-02-17,7.758310,6.238600,-0.041690,inside
2015-02-18,7.757970,6.244100,-0.042030,inside
2015-02-19,7.757840,6.244100,-0.042160,inside
2015-02-20,7.757600,6.244100,-0.042400,inside
2015-02-23,7.757230,6.244100,-0.042770,inside
2015-02-24,7.755890,6.245100,-0.044110,inside
2015-02-25,7.756000,6.245100,-0.044000,inside
2015-02-26,7.755780,6.249500,-0.044220,inside
2015-02-27,7.754900,6.249500,-0.045100,inside
2015-03-02,7.753140,6.258600,-0.046860,inside
2015-03-03,7.754340,6.263700,-0.045660,inside
2015-03-04,7.754160,6.263700,-0.045840,inside
2015-03-05,7.754550,6.260600,-0.045450,inside
2015-03-06,7.755960,6.257400,-0.044040,inside
2015-03-09,7.756600,6.253800,-0.043400,inside
2015-03-10,7.759200,6.255000,-0.040800,inside
2015-03-11,7.759450,6.252000,-0.040550,inside
2015-03-12,7.765670,6.252000,-0.034330,inside
2015-03-13,7.766590,6.252000,-0.033410,inside
2015-03-16,7.765640,6.248700,-0.034360,inside
2015-03-17,7.764030,6.251800,-0.035970,inside
2015-03-18,7.762030,6.239500,-0.037970,inside
2015-03-19,7.757560,6.218700,-0.042440,inside
2015-03-20,7.757730,6.186000,-0.042270,inside
2015-03-23,7.756800,6.196000,-0.043200,inside
2015-03-24,7.755340,6.205000,-0.044660,inside
2015-03-25,7.754450,6.195300,-0.045550,inside
2015-03-26,7.754480,6.201000,-0.045520,inside
2015-03-27,7.753440,6.201400,-0.046560,inside
2015-03-29,7.752630,6.205200,-0.047370,inside
2015-03-30,7.754560,6.196500,-0.045440,inside
2015-03-31,7.752650,6.187500,-0.047350,inside
2015-04-01,7.752120,6.187100,-0.047880,inside
